roy:~/Desktop stfi$ ./Pd-0.39.2-extended-2006-12-06.app/Contents/MacOS/Pd-0.39.2-extended-2006-12-06        
input channels = 2, output channels = 2
Pd version 0.39-2extended-2006-12-06
compiled 20:04:53 Dec  6 2006
input channels = 2, output channels = 2
input device 0, channels 2
output device 0, channels 2
framesperbuf 64, nbufs 34
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/iemlib/cyclone/cyclone.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/list-abs/cyclone/cyclone.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/mapping/cyclone/cyclone.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/markex/cyclone/cyclone.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/maxlib/cyclone/cyclone.pd_darwin and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/cyclone/cyclone.pd_darwin and failed
tried /Users/stfi/Desktop/cyclone/cyclone-meta.pd and failed
tried /System/Library/Fonts/cyclone/cyclone-meta.pd and failed
tried /Library/Fonts/cyclone/cyclone-meta.pd and failed
tried ~/Library/Fonts/cyclone/cyclone-meta.pd and failed
tried /usr/X11R6/lib/X11/fonts/TTF/cyclone/cyclone-meta.pd and failed
tried /System/Library/Frameworks/JavaVM.framework/Versions/1.3.1/Home/lib/fonts/cyclone/cyclone-meta.pd and failed
tried /sw/lib/X11/fonts/msttf/cyclone/cyclone-meta.pd and failed
tried /sw/lib/X11/fonts/intl/TrueType/cyclone/cyclone-meta.pd and failed
tried /sw/lib/X11/fonts/applettf/cyclone/cyclone-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cyclone/cyclone/cyclone-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/zexy/cyclone/cyclone-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/creb/cyclone/cyclone-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cxc/cyclone/cyclone-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/iemlib/cyclone/cyclone-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/list-abs/cyclone/cyclone-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/mapping/cyclone/cyclone-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/markex/cyclone/cyclone-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/maxlib/cyclone/cyclone-meta.pd and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/cyclone/cyclone-meta.pd and succeeded
Added to search path: /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/cyclone
Added to help path: /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/cyclone
Added to help path: /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../doc/5.reference/cyclone
Loaded libdir cyclone from /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/cyclone
tried /Users/stfi/Desktop/zexy.pd_darwin and failed
tried /System/Library/Fonts/zexy.pd_darwin and failed
tried /Library/Fonts/zexy.pd_darwin and failed
tried ~/Library/Fonts/zexy.pd_darwin and failed
tried /usr/X11R6/lib/X11/fonts/TTF/zexy.pd_darwin and failed
tried /System/Library/Frameworks/JavaVM.framework/Versions/1.3.1/Home/lib/fonts/zexy.pd_darwin and failed
tried /sw/lib/X11/fonts/msttf/zexy.pd_darwin and failed
tried /sw/lib/X11/fonts/intl/TrueType/zexy.pd_darwin and failed
tried /sw/lib/X11/fonts/applettf/zexy.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cyclone/zexy.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/zexy/zexy.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/creb/zexy.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cxc/zexy.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/iemlib/zexy.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/list-abs/zexy.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/mapping/zexy.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/markex/zexy.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/maxlib/zexy.pd_darwin and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/cyclone/zexy.pd_darwin and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/zexy.pd_darwin and failed
tried /Users/stfi/Desktop/zexy/zexy.pd_darwin and failed
tried /System/Library/Fonts/zexy/zexy.pd_darwin and failed
tried /Library/Fonts/zexy/zexy.pd_darwin and failed
tried ~/Library/Fonts/zexy/zexy.pd_darwin and failed
tried /usr/X11R6/lib/X11/fonts/TTF/zexy/zexy.pd_darwin and failed
tried /System/Library/Frameworks/JavaVM.framework/Versions/1.3.1/Home/lib/fonts/zexy/zexy.pd_darwin and failed
tried /sw/lib/X11/fonts/msttf/zexy/zexy.pd_darwin and failed
tried /sw/lib/X11/fonts/intl/TrueType/zexy/zexy.pd_darwin and failed
tried /sw/lib/X11/fonts/applettf/zexy/zexy.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cyclone/zexy/zexy.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/zexy/zexy/zexy.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/creb/zexy/zexy.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cxc/zexy/zexy.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/iemlib/zexy/zexy.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/list-abs/zexy/zexy.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/mapping/zexy/zexy.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/markex/zexy/zexy.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/maxlib/zexy/zexy.pd_darwin and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/cyclone/zexy/zexy.pd_darwin and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/zexy/zexy.pd_darwin and failed
tried /Users/stfi/Desktop/zexy/zexy-meta.pd and failed
tried /System/Library/Fonts/zexy/zexy-meta.pd and failed
tried /Library/Fonts/zexy/zexy-meta.pd and failed
tried ~/Library/Fonts/zexy/zexy-meta.pd and failed
tried /usr/X11R6/lib/X11/fonts/TTF/zexy/zexy-meta.pd and failed
tried /System/Library/Frameworks/JavaVM.framework/Versions/1.3.1/Home/lib/fonts/zexy/zexy-meta.pd and failed
tried /sw/lib/X11/fonts/msttf/zexy/zexy-meta.pd and failed
tried /sw/lib/X11/fonts/intl/TrueType/zexy/zexy-meta.pd and failed
tried /sw/lib/X11/fonts/applettf/zexy/zexy-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cyclone/zexy/zexy-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/zexy/zexy/zexy-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/creb/zexy/zexy-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cxc/zexy/zexy-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/iemlib/zexy/zexy-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/list-abs/zexy/zexy-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/mapping/zexy/zexy-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/markex/zexy/zexy-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/maxlib/zexy/zexy-meta.pd and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/cyclone/zexy/zexy-meta.pd and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/zexy/zexy-meta.pd and succeeded
Added to search path: /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/zexy
Added to help path: /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/zexy
Added to help path: /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../doc/5.reference/zexy
Loaded libdir zexy from /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/zexy
tried /Users/stfi/Desktop/creb.pd_darwin and failed
tried /System/Library/Fonts/creb.pd_darwin and failed
tried /Library/Fonts/creb.pd_darwin and failed
tried ~/Library/Fonts/creb.pd_darwin and failed
tried /usr/X11R6/lib/X11/fonts/TTF/creb.pd_darwin and failed
tried /System/Library/Frameworks/JavaVM.framework/Versions/1.3.1/Home/lib/fonts/creb.pd_darwin and failed
tried /sw/lib/X11/fonts/msttf/creb.pd_darwin and failed
tried /sw/lib/X11/fonts/intl/TrueType/creb.pd_darwin and failed
tried /sw/lib/X11/fonts/applettf/creb.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cyclone/creb.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/zexy/creb.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/creb/creb.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cxc/creb.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/iemlib/creb.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/list-abs/creb.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/mapping/creb.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/markex/creb.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/maxlib/creb.pd_darwin and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/cyclone/creb.pd_darwin and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/zexy/creb.pd_darwin and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/creb.pd_darwin and failed
tried /Users/stfi/Desktop/creb/creb.pd_darwin and failed
tried /System/Library/Fonts/creb/creb.pd_darwin and failed
tried /Library/Fonts/creb/creb.pd_darwin and failed
tried ~/Library/Fonts/creb/creb.pd_darwin and failed
tried /usr/X11R6/lib/X11/fonts/TTF/creb/creb.pd_darwin and failed
tried /System/Library/Frameworks/JavaVM.framework/Versions/1.3.1/Home/lib/fonts/creb/creb.pd_darwin and failed
tried /sw/lib/X11/fonts/msttf/creb/creb.pd_darwin and failed
tried /sw/lib/X11/fonts/intl/TrueType/creb/creb.pd_darwin and failed
tried /sw/lib/X11/fonts/applettf/creb/creb.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cyclone/creb/creb.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/zexy/creb/creb.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/creb/creb/creb.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cxc/creb/creb.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/iemlib/creb/creb.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/list-abs/creb/creb.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/mapping/creb/creb.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/markex/creb/creb.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/maxlib/creb/creb.pd_darwin and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/cyclone/creb/creb.pd_darwin and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/zexy/creb/creb.pd_darwin and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/creb/creb.pd_darwin and failed
tried /Users/stfi/Desktop/creb/creb-meta.pd and failed
tried /System/Library/Fonts/creb/creb-meta.pd and failed
tried /Library/Fonts/creb/creb-meta.pd and failed
tried ~/Library/Fonts/creb/creb-meta.pd and failed
tried /usr/X11R6/lib/X11/fonts/TTF/creb/creb-meta.pd and failed
tried /System/Library/Frameworks/JavaVM.framework/Versions/1.3.1/Home/lib/fonts/creb/creb-meta.pd and failed
tried /sw/lib/X11/fonts/msttf/creb/creb-meta.pd and failed
tried /sw/lib/X11/fonts/intl/TrueType/creb/creb-meta.pd and failed
tried /sw/lib/X11/fonts/applettf/creb/creb-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cyclone/creb/creb-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/zexy/creb/creb-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/creb/creb/creb-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cxc/creb/creb-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/iemlib/creb/creb-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/list-abs/creb/creb-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/mapping/creb/creb-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/markex/creb/creb-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/maxlib/creb/creb-meta.pd and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/cyclone/creb/creb-meta.pd and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/zexy/creb/creb-meta.pd and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/creb/creb-meta.pd and succeeded
Added to search path: /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/creb
Added to help path: /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/creb
Added to help path: /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../doc/5.reference/creb
Loaded libdir creb from /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/creb
tried /Users/stfi/Desktop/cxc.pd_darwin and failed
tried /System/Library/Fonts/cxc.pd_darwin and failed
tried /Library/Fonts/cxc.pd_darwin and failed
tried ~/Library/Fonts/cxc.pd_darwin and failed
tried /usr/X11R6/lib/X11/fonts/TTF/cxc.pd_darwin and failed
tried /System/Library/Frameworks/JavaVM.framework/Versions/1.3.1/Home/lib/fonts/cxc.pd_darwin and failed
tried /sw/lib/X11/fonts/msttf/cxc.pd_darwin and failed
tried /sw/lib/X11/fonts/intl/TrueType/cxc.pd_darwin and failed
tried /sw/lib/X11/fonts/applettf/cxc.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cyclone/cxc.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/zexy/cxc.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/creb/cxc.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cxc/cxc.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/iemlib/cxc.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/list-abs/cxc.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/mapping/cxc.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/markex/cxc.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/maxlib/cxc.pd_darwin and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/cyclone/cxc.pd_darwin and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/zexy/cxc.pd_darwin and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/creb/cxc.pd_darwin and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/cxc.pd_darwin and failed
tried /Users/stfi/Desktop/cxc/cxc.pd_darwin and failed
tried /System/Library/Fonts/cxc/cxc.pd_darwin and failed
tried /Library/Fonts/cxc/cxc.pd_darwin and failed
tried ~/Library/Fonts/cxc/cxc.pd_darwin and failed
tried /usr/X11R6/lib/X11/fonts/TTF/cxc/cxc.pd_darwin and failed
tried /System/Library/Frameworks/JavaVM.framework/Versions/1.3.1/Home/lib/fonts/cxc/cxc.pd_darwin and failed
tried /sw/lib/X11/fonts/msttf/cxc/cxc.pd_darwin and failed
tried /sw/lib/X11/fonts/intl/TrueType/cxc/cxc.pd_darwin and failed
tried /sw/lib/X11/fonts/applettf/cxc/cxc.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cyclone/cxc/cxc.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/zexy/cxc/cxc.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/creb/cxc/cxc.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cxc/cxc/cxc.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/iemlib/cxc/cxc.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/list-abs/cxc/cxc.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/mapping/cxc/cxc.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/markex/cxc/cxc.pd_darwin and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/maxlib/cxc/cxc.pd_darwin and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/cyclone/cxc/cxc.pd_darwin and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/zexy/cxc/cxc.pd_darwin and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/creb/cxc/cxc.pd_darwin and failed
tried /Users/stfi/Desktop/Pd-0.39.2-extended-2006-12-06.app/Contents/Resources/Scripts/../extra/cxc/cxc.pd_darwin and failed
tried /Users/stfi/Desktop/cxc/cxc-meta.pd and failed
tried /System/Library/Fonts/cxc/cxc-meta.pd and failed
tried /Library/Fonts/cxc/cxc-meta.pd and failed
tried ~/Library/Fonts/cxc/cxc-meta.pd and failed
tried /usr/X11R6/lib/X11/fonts/TTF/cxc/cxc-meta.pd and failed
tried /System/Library/Frameworks/JavaVM.framework/Versions/1.3.1/Home/lib/fonts/cxc/cxc-meta.pd and failed
tried /sw/lib/X11/fonts/msttf/cxc/cxc-meta.pd and failed
tried /sw/lib/X11/fonts/intl/TrueType/cxc/cxc-meta.pd and failed
tried /sw/lib/X11/fonts/applettf/cxc/cxc-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cyclone/cxc/cxc-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/zexy/cxc/cxc-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/creb/cxc/cxc-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/cxc/cxc/cxc-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/iemlib/cxc/cxc-meta.pd and failed
tried /Applications/Pd-0.39.2.app/Contents/Resources/Scripts/../extra/list-abs/cxc/cxc-meta.pd and failed
